Daily Rainfall Total (mm),Min Temperature (deg C),Maximum Temperature (deg C),Min Wind Speed (km/h),Max Wind Speed (km/h),Sunshine Duration (hrs),Cloud Cover (%),Wet Bulb Temperature (deg F),Relative Humidity (%),Air Pressure (hPa),Daily Solar Panel Efficiency,Wind Direction_East,Wind Direction_North,Wind Direction_Northeast,Wind Direction_Northwest,Wind Direction_South,Wind Direction_Southeast,Wind Direction_Southwest,Wind Direction_West,Dew Point Category_0,Dew Point Category_1,Dew Point Category_2,Dew Point Category_3,Dew Point Category_4
1.4,29.5,33.4,8.0,31.7,7.65,21.0,60.3,100.0,1006,0,0,0,0,0,0,1,0,0,0,0,0,0,1
0.2,29.8,33.3,9.7,35.3,7.4,8.0,60.4,100.0,1003,1,0,0,0,0,0,1,0,0,0,1,0,0,0
10.6,27.4,32.4,4.4,30.2,6.78,41.0,59.1,100.0,1004,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1.4,29.0,32.0,7.2,22.0,8.48,21.0,59.9,100.0,1008,1,1,0,0,0,0,0,0,0,1,0,0,0,0
0.0,29.2,32.6,5.9,27.0,8.18,23.0,59.5,100.0,1006,2,0,0,1,0,0,0,0,0,0,0,0,0,1
1.6,28.4,31.0,6.8,31.3,7.43,21.0,59.8,100.0,1005,1,0,0,0,0,0,1,0,0,0,0,0,0,1
2.0,28.7,32.1,8.2,30.6,7.57,21.0,59.8,100.0,1006,2,0,1,0,0,0,0,0,0,0,0,0,0,1
0.0,28.8,32.4,6.9,34.2,7.44,18.0,59.6,100.0,1009,1,0,0,0,0,0,0,0,1,0,0,0,0,1
0.8,28.0,30.7,6.5,29.9,7.62,7.0,59.5,98.5,1001,1,0,1,0,0,0,0,0,0,0,0,0,0,1
17.8,28.5,32.7,5.4,31.0,6.01,58.0,59.8,100.0,1007,0,0,0,0,1,0,0,0,0,0,0,0,0,1
0.0,27.9,31.5,5.9,33.8,7.39,16.0,59.6,100.0,1008,1,0,1,0,0,0,0,0,0,0,0,0,0,1
18.0,28.1,31.9,7.9,42.1,4.8,61.0,59.5,100.0,1008,0,0,1,0,0,0,0,0,0,0,0,0,0,1
0.0,29.4,32.2,10.5,27.7,8.07,6.0,59.6,97.4,1005,1,0,0,1,0,0,0,0,0,0,0,0,0,1
4.2,27.4,31.2,6.9,39.6,6.36,27.0,59.6,100.0,1015,1,0,0,1,0,0,0,0,0,0,0,0,0,1
0.0,29.7,32.6,9.7,32.4,7.64,29.0,60.1,81.2,1008,1,0,0,0,0,0,1,0,0,0,0,0,1,0
0.0,29.4,32.7,7.0,36.4,7.25,19.0,60.3,95.3,1011,1,0,0,1,0,0,0,0,0,0,0,0,0,1
0.0,29.4,32.3,6.8,24.1,8.44,17.0,60.1,100.0,1014,2,0,0,1,0,0,0,0,0,0,0,1,0,0
2.4,28.9,32.3,8.1,43.9,6.22,23.0,59.4,100.0,1009,1,0,0,0,1,0,0,0,0,0,0,0,0,1
0.0,30.4,33.3,10.6,27.7,8.18,18.0,60.4,100.0,1011,2,0,0,0,0,0,0,1,0,0,0,0,0,1
0.0,30.6,33.6,9.0,28.4,8.14,27.0,60.2,100.0,1010,2,1,0,0,0,0,0,0,0,0,0,0,1,0
0.0,29.7,33.2,6.1,28.1,8.13,8.0,59.5,100.0,1011,2,0,0,0,0,1,0,0,0,0,0,0,0,1
0.0,28.6,30.7,8.2,32.0,7.49,18.0,59.1,100.0,1012,1,0,0,1,0,0,0,0,0,0,0,0,0,1
0.0,29.4,32.0,9.3,39.6,6.86,27.0,60.1,100.0,1009,1,0,0,0,0,0,0,1,0,0,0,0,0,1
0.0,28.0,29.8,7.4,37.8,6.82,16.0,58.5,100.0,1013,1,0,1,0,0,0,0,0,0,0,0,0,1,0
0.0,28.8,32.2,6.4,27.0,8.14,16.0,58.9,100.0,1011,2,0,0,0,0,0,0,1,0,0,0,0,0,1
0.0,29.2,32.4,5.7,31.7,7.69,24.0,59.5,100.0,1010,1,0,0,0,0,0,1,0,0,0,0,0,0,1
2.4,27.6,31.0,6.9,35.3,6.95,25.0,58.7,100.0,1011,1,0,0,0,1,0,0,0,0,1,0,0,0,0
0.0,28.2,32.6,5.9,27.7,8.11,18.0,58.8,100.0,1009,2,0,1,0,0,0,0,0,0,0,0,0,0,1
0.2,28.6,31.2,6.6,29.5,7.77,21.0,59.5,84.4,1009,1,0,0,0,0,0,1,0,0,0,0,0,1,0
19.4,28.1,29.9,5.8,44.3,4.24,70.0,59.9,100.0,1012,0,0,0,0,0,0,0,0,1,0,0,0,0,1
3.6,28.5,31.5,6.6,38.2,6.59,27.0,59.1,94.7,1015,1,0,1,0,0,0,0,0,0,0,0,0,0,1
12.6,27.3,28.3,7.9,-59.8,3.21,60.0,59.4,100.0,1011,0,0,1,0,0,0,0,0,0,0,0,0,0,1
26.8,28.0,32.0,6.6,27.4,5.4,72.0,59.8,100.0,1012,0,0,0,0,0,1,0,0,0,0,0,0,0,1
0.0,27.7,31.1,5.8,31.3,7.6,29.0,58.7,100.0,1008,1,0,0,0,0,0,0,1,0,0,0,0,1,0
0.0,29.8,32.5,9.2,28.1,8.06,17.0,59.2,94.8,1009,2,0,0,0,1,0,0,0,0,0,0,0,1,0
0.0,29.6,32.2,12.8,30.2,7.82,23.0,60.1,98.3,1013,0,0,1,0,0,0,0,0,0,0,0,0,0,1
0.0,29.4,32.4,10.8,30.6,7.8,18.0,60.0,90.5,1007,1,0,0,0,0,0,1,0,0,0,0,0,1,0
7.8,28.1,30.1,7.3,27.0,7.15,41.0,59.8,100.0,1006,0,0,0,0,0,1,0,0,0,0,0,0,0,1
0.0,29.9,33.1,13.8,35.6,7.37,21.0,59.9,100.0,1014,1,0,0,1,0,0,0,0,0,0,0,0,0,1
29.0,27.6,32.0,9.7,70.6,0.86,90.0,59.4,100.0,1006,0,0,0,0,0,0,1,0,0,0,0,0,0,1
4.0,27.8,31.4,8.7,37.1,6.65,23.0,59.5,98.9,1011,2,0,0,0,1,0,0,0,0,0,0,0,0,1
0.0,28.7,31.2,7.5,27.7,7.97,19.0,59.1,82.4,1007,1,0,0,0,0,1,0,0,0,0,0,0,1,0
0.0,28.6,31.1,6.8,29.9,7.74,30.0,59.3,100.0,1005,1,0,0,0,0,0,1,0,0,0,0,0,0,1
0.4,27.7,29.8,6.6,39.2,6.64,20.0,58.7,100.0,1010,1,0,0,1,0,0,0,0,0,0,0,0,1,0
9.2,27.5,30.8,7.1,52.9,4.49,46.0,58.8,100.0,1015,0,0,0,0,0,1,0,0,0,0,0,0,0,1
2.0,27.6,29.7,8.1,41.0,6.29,29.0,58.5,100.0,1010,1,0,0,1,0,0,0,0,0,0,0,0,1,0
0.0,28.2,31.6,9.8,32.4,7.54,11.0,58.9,100.0,1009,1,0,0,0,0,1,0,0,0,0,0,0,0,1
0.0,28.1,30.8,8.4,35.3,7.17,16.0,58.9,100.0,1011,1,0,0,0,0,0,1,0,0,0,0,0,0,1
2.4,26.2,27.2,5.9,21.2,7.98,32.0,57.9,100.0,1009,1,0,0,0,0,1,0,0,0,0,0,0,1,0
0.6,26.6,29.0,5.4,40.3,6.43,26.0,58.4,87.5,1005,1,0,0,0,0,0,0,1,0,0,0,0,1,0
0.0,28.1,30.7,8.6,30.2,7.67,18.0,58.4,92.0,1003,1,1,0,0,0,0,0,0,0,0,0,0,1,0
10.4,28.4,31.0,11.9,46.8,5.0,38.0,59.1,100.0,1016,0,0,0,1,0,0,0,0,0,0,0,0,0,1
0.0,28.7,31.4,15.2,37.8,6.98,20.0,59.2,100.0,1010,1,0,1,0,0,0,0,0,0,0,0,0,1,0
0.0,27.4,30.8,6.5,32.4,7.46,32.0,59.0,100.0,1014,1,0,0,0,0,0,0,0,1,0,0,0,0,1
8.4,26.9,30.1,6.9,38.2,5.97,43.0,58.3,100.0,1011,0,0,0,0,0,0,0,1,0,0,0,0,1,0
0.6,28.0,30.2,10.8,38.9,6.69,24.0,59.1,100.0,1011,1,0,0,0,0,1,0,0,0,0,0,0,0,1
0.0,28.7,31.6,8.7,30.6,7.72,26.0,59.1,96.3,1011,1,0,0,0,0,0,1,0,0,0,0,0,1,0
9.2,26.9,31.3,6.4,33.8,6.45,39.0,58.9,100.0,1008,0,0,0,0,0,0,0,1,0,0,0,0,0,1
0.0,28.3,31.2,7.6,34.2,7.32,13.0,59.0,100.0,1010,1,0,1,0,0,0,0,0,0,0,0,0,0,1
0.8,27.9,31.5,6.5,24.8,8.21,11.0,58.8,89.1,1007,2,0,0,0,0,1,0,0,0,0,0,0,1,0
0.0,28.9,32.0,7.7,27.0,8.12,24.0,59.3,100.0,1011,0,0,0,0,0,0,0,0,1,1,0,0,0,0
0.0,28.9,31.9,9.4,38.9,6.92,22.0,59.3,100.0,1009,1,0,0,0,0,0,1,0,0,0,0,0,0,1
0.0,29.0,31.5,7.4,30.6,7.71,16.0,59.0,97.3,1004,1,0,0,0,0,0,0,0,1,0,0,1,0,0
0.0,28.9,31.7,13.4,37.8,7.01,26.0,59.3,100.0,1008,1,1,0,0,0,0,0,0,0,0,0,0,0,1
31.6,28.1,32.2,8.9,61.9,1.49,100.0,59.3,100.0,1007,0,1,0,0,0,0,0,0,0,0,0,0,1,0
3.6,27.7,31.3,6.0,28.4,7.55,17.0,58.6,96.1,1010,1,0,0,0,0,0,1,0,0,0,0,0,1,0
9.4,28.7,32.2,12.1,61.6,3.74,40.0,59.3,100.0,1004,2,0,1,0,0,0,0,0,0,0,1,0,0,0
23.4,26.4,29.4,6.6,49.0,3.32,79.0,58.2,100.0,1010,0,0,0,0,0,0,0,1,0,0,0,0,1,0
0.0,28.3,32.3,8.2,30.2,7.83,14.0,58.8,95.0,1013,1,0,0,0,0,1,0,0,0,0,0,0,1,0
0.0,28.7,31.9,8.9,-28.4,7.97,15.0,58.2,100.0,1011,1,0,0,0,0,1,0,0,0,0,0,0,1,0
0.0,29.0,32.0,13.4,32.8,7.54,20.0,59.0,100.0,1004,1,0,0,0,0,0,0,1,0,0,0,0,0,1
0.0,29.3,32.2,8.6,25.2,8.32,32.0,59.2,89.9,1010,2,1,0,0,0,0,0,0,0,0,0,0,1,0
0.0,28.5,33.8,6.7,29.2,8.08,14.0,59.3,100.0,1005,2,0,0,0,0,0,0,1,0,0,0,0,0,1
2.4,28.4,32.4,7.8,37.8,6.84,30.0,59.5,100.0,1005,1,0,0,0,0,0,0,1,0,1,0,0,0,0
2.8,27.4,31.6,7.3,29.2,7.58,30.0,58.8,100.0,1002,1,0,0,0,1,0,0,0,0,0,0,0,0,1
0.0,27.6,32.0,6.5,30.6,7.76,19.0,58.5,100.0,1007,1,0,1,0,0,0,0,0,0,0,0,0,1,0
0.0,28.2,32.4,6.0,28.1,8.05,18.0,58.5,94.3,1002,2,0,0,0,0,1,0,0,0,0,0,1,0,0
0.0,28.7,33.1,8.4,28.8,8.05,13.0,58.6,99.4,1007,2,0,1,0,0,0,0,0,0,0,0,0,1,0
0.0,29.4,33.1,10.6,35.3,7.4,28.0,59.3,79.1,1005,1,0,0,0,0,1,0,0,0,0,0,0,1,0
32.8,27.5,32.1,5.8,34.2,4.13,92.0,59.2,100.0,1012,0,0,0,1,0,0,0,0,0,0,0,0,0,1
0.0,29.0,33.0,8.9,34.2,7.5,24.0,59.2,100.0,1009,1,0,0,0,0,0,1,0,0,0,0,0,0,1
11.6,28.5,33.5,6.9,29.5,6.86,37.0,-59.3,100.0,1007,0,1,0,0,0,0,0,0,0,0,0,0,0,1
0.0,29.3,32.6,7.3,26.6,8.22,16.0,59.5,93.3,1005,2,1,0,0,0,0,0,0,0,0,0,0,1,0
0.0,29.6,32.7,7.2,29.5,7.94,27.0,59.4,95.9,1009,1,0,0,0,0,0,1,0,0,0,0,0,1,0
64.4,27.0,32.0,6.0,50.8,0.0,100.0,58.5,100.0,1004,0,0,1,0,0,0,0,0,0,0,0,0,1,0
8.0,26.4,30.8,4.9,24.8,7.42,40.0,58.7,100.0,1007,0,0,0,0,0,0,0,1,0,0,0,0,1,0
0.2,26.5,32.0,8.0,40.7,6.73,20.0,58.4,94.6,1010,2,0,0,0,1,0,0,0,0,0,0,0,1,0
3.2,27.9,32.1,5.4,29.2,7.59,26.0,59.4,100.0,1007,1,0,1,0,0,0,0,0,0,0,0,0,0,1
0.2,28.0,32.7,6.1,28.4,8.03,15.0,59.1,87.4,1006,2,0,0,0,0,0,1,0,0,0,0,0,1,0
39.4,27.3,32.5,5.5,23.8,4.55,100.0,59.1,100.0,1009,2,0,1,0,0,0,0,0,0,0,0,0,0,1
26.4,26.4,29.8,4.3,49.7,2.99,75.0,58.3,100.0,1008,0,0,0,0,0,0,1,0,0,0,0,0,1,0
0.0,28.0,32.7,4.6,21.6,8.73,6.0,58.2,96.9,1002,2,0,0,0,0,0,0,0,1,0,0,0,1,0
0.0,28.6,33.5,5.8,21.6,8.81,13.0,59.1,100.0,1008,2,0,0,0,0,0,0,1,0,0,0,0,0,1
0.0,28.0,32.0,7.8,24.1,8.41,25.0,58.4,100.0,1006,2,0,1,0,0,0,0,0,0,0,0,0,1,0
0.0,28.0,31.4,9.4,30.6,7.7,20.0,58.8,93.4,1006,1,0,0,0,0,0,0,1,0,0,0,0,1,0
0.0,28.2,31.8,9.3,32.4,7.56,20.0,58.5,100.0,1009,1,0,1,0,0,0,0,0,0,0,0,0,1,0
0.0,28.4,32.2,11.2,35.6,7.28,19.0,58.7,94.9,1006,1,0,0,0,0,1,0,0,0,0,0,0,1,0
0.0,28.6,32.0,10.1,33.8,7.44,16.0,59.2,83.1,1005,2,0,0,0,0,1,0,0,0,0,0,0,1,0
0.0,28.9,32.4,9.5,28.1,8.05,13.0,59.1,100.0,1009,1,0,0,0,0,0,0,0,1,0,0,0,0,1
0.0,27.9,32.0,9.1,36.0,7.22,19.0,58.9,91.2,1008,1,0,0,1,0,0,0,0,0,0,0,0,1,0
0.4,26.9,32.1,6.2,32.4,7.55,27.0,58.9,100.0,1008,2,0,0,1,0,0,0,0,0,0,0,0,0,1
9.6,26.0,30.3,6.3,32.4,6.45,32.0,58.1,100.0,1006,0,1,0,0,0,0,0,0,0,0,0,0,1,0
2.0,25.8,28.9,9.7,37.1,6.6,24.0,57.2,100.0,1007,1,0,0,0,0,0,1,0,0,0,0,0,1,0
0.0,26.3,29.2,9.7,32.0,7.34,20.0,57.9,90.1,1009,1,0,0,0,0,0,1,0,0,0,0,0,0,1
0.0,26.8,30.3,11.2,39.6,6.69,15.0,57.4,100.0,1008,1,0,1,0,0,0,0,0,0,0,0,0,1,0
0.0,27.1,30.7,8.7,29.9,7.7,8.0,57.4,100.0,1004,1,0,0,1,0,0,0,0,0,0,0,0,1,0
0.0,27.7,32.1,8.4,27.7,8.06,18.0,57.5,95.5,1004,2,0,0,0,0,1,0,0,0,0,0,0,1,0
0.4,25.0,27.0,6.7,21.6,8.12,18.0,57.6,98.9,1009,2,1,0,0,0,0,0,0,0,0,0,0,1,0
33.6,25.9,30.7,8.4,33.8,3.95,87.0,57.7,100.0,1005,0,0,0,0,1,0,0,0,0,0,0,0,1,0
0.0,27.4,31.5,13.0,36.7,7.1,19.0,57.9,100.0,1017,2,0,0,0,0,0,0,1,0,0,0,0,1,0
0.0,27.6,30.8,12.9,34.6,7.24,26.0,58.1,80.9,1007,1,0,0,0,0,1,0,0,0,0,0,0,1,0
0.0,26.9,31.0,11.8,34.9,7.23,12.0,57.0,96.5,1007,1,1,0,0,0,0,0,0,0,0,0,0,1,0
0.0,26.8,30.9,11.4,36.0,7.11,14.0,56.6,100.0,1010,1,0,0,0,1,0,0,0,0,0,0,0,1,0
0.0,26.7,30.6,13.3,37.8,6.9,23.0,57.0,91.0,1009,1,0,0,0,0,0,0,0,1,0,0,0,1,0
0.0,26.9,30.7,13.3,36.7,7.02,14.0,57.4,97.1,1013,1,0,1,0,0,0,0,0,0,0,0,0,1,0
0.0,26.8,30.4,14.4,-37.4,6.92,14.0,57.0,100.0,1004,1,0,1,0,0,0,0,0,0,0,0,0,1,0
0.0,27.0,30.7,12.8,34.2,7.27,11.0,57.2,91.8,1005,1,0,0,0,1,0,0,0,0,0,0,0,1,0
0.0,27.4,31.8,11.8,30.2,7.78,11.0,57.7,89.0,1009,1,0,0,0,1,0,0,0,0,0,0,0,1,0
0.0,26.5,29.4,10.0,30.6,7.5,18.0,57.7,90.1,1010,1,0,0,1,0,0,0,0,0,0,0,0,1,0
0.0,26.9,31.2,11.1,35.3,7.21,23.0,58.1,100.0,1006,2,0,0,0,0,0,0,0,1,1,0,0,0,0
3.4,25.9,29.1,9.4,35.6,6.63,26.0,57.0,100.0,1013,1,0,0,0,0,0,0,1,0,0,0,0,1,0
0.2,25.8,29.6,8.9,34.9,7.07,19.0,56.7,99.6,1011,2,1,0,0,0,0,0,0,0,0,0,0,1,0
0.2,26.7,30.6,14.1,41.8,6.48,18.0,57.1,100.0,1010,0,0,0,0,0,0,1,0,0,0,0,0,1,0
0.0,26.7,30.5,14.8,43.2,6.35,22.0,57.1,92.2,1009,1,0,0,0,0,0,1,0,0,0,0,0,1,0
0.0,26.8,30.9,12.9,32.0,7.51,19.0,56.8,96.8,1011,1,0,0,0,0,0,0,1,0,0,0,0,1,0
0.0,27.1,32.0,12.0,28.8,7.94,21.0,57.4,89.2,1009,1,0,0,0,0,0,0,1,0,0,0,0,1,0
0.0,27.4,32.0,13.8,34.2,7.4,20.0,57.6,100.0,1015,0,0,0,0,0,0,0,0,1,0,0,0,0,1
0.0,27.5,32.2,13.5,34.2,7.42,12.0,57.8,95.9,1006,1,0,0,0,0,0,0,0,1,0,0,0,1,0
0.0,28.0,33.6,13.6,36.7,7.31,16.0,57.8,94.1,1003,1,0,0,0,0,0,0,0,1,0,0,0,1,0
0.0,27.4,31.3,11.3,28.1,7.94,20.0,57.8,100.0,1012,2,0,0,1,0,0,0,0,0,0,0,0,1,0
0.0,28.4,33.3,13.3,42.8,6.67,17.0,58.7,94.9,1010,1,0,0,1,0,0,0,0,0,0,0,0,1,0
0.0,27.9,32.7,9.9,25.6,8.33,28.0,57.8,80.8,1012,2,0,0,1,0,0,0,0,0,0,0,0,1,0
46.0,25.5,28.2,6.3,45.0,1.34,100.0,58.0,100.0,1006,0,0,0,0,0,0,0,1,0,0,0,0,1,0
0.0,27.7,31.7,12.4,32.0,7.59,18.0,57.3,87.6,1008,1,0,0,0,1,0,0,0,0,0,0,0,1,0
0.0,28.3,32.9,11.7,33.8,7.53,12.0,58.4,100.0,1005,1,0,1,0,0,0,0,0,0,0,0,0,1,0
0.0,28.7,33.4,11.1,32.4,7.72,13.0,58.9,100.0,1007,1,0,0,1,0,0,0,0,0,0,0,0,0,1
0.0,28.6,32.9,11.9,31.7,7.74,17.0,58.5,87.8,1009,1,0,1,0,0,0,0,0,0,0,0,0,0,1
0.0,29.0,32.9,15.3,37.1,7.2,13.0,58.8,100.0,1010,1,0,0,0,0,0,1,0,0,0,0,0,0,1
0.0,28.9,33.1,14.3,38.5,7.08,25.0,59.1,100.0,1012,0,0,0,0,0,0,1,0,0,0,0,0,0,1
0.0,28.6,33.0,9.9,34.6,7.46,22.0,59.2,100.0,1011,1,0,0,1,0,0,0,0,0,0,1,0,0,0
8.8,27.9,32.0,7.9,32.8,6.66,40.0,59.4,100.0,1012,0,0,0,0,0,0,0,0,1,0,0,0,0,1
13.8,27.1,33.2,6.0,33.5,6.21,50.0,59.0,100.0,1009,0,0,1,0,0,0,0,0,0,0,0,0,0,1
0.0,27.6,30.9,4.8,20.5,8.66,23.0,59.0,93.0,1006,0,0,0,0,1,0,0,0,0,0,0,0,0,1
0.0,29.2,33.2,10.1,31.3,7.81,18.0,59.6,100.0,1005,1,0,0,1,0,0,0,0,0,1,0,0,0,0
0.0,29.1,32.8,12.0,31.7,7.73,14.0,59.4,98.3,1007,1,0,0,0,0,0,0,0,1,0,0,0,0,1
0.0,28.2,31.6,6.9,28.4,7.94,22.0,-59.1,86.0,1008,1,0,0,0,0,0,0,0,1,0,0,0,0,1
0.0,28.8,33.8,8.9,28.4,8.16,10.0,59.1,100.0,1009,2,0,0,0,1,0,0,0,0,0,0,0,0,1
0.0,29.2,33.6,11.0,32.0,7.78,17.0,58.6,91.0,1005,1,0,0,1,0,0,0,0,0,0,0,0,0,1
0.0,29.6,33.5,12.8,32.4,7.73,15.0,-58.8,100.0,1006,2,0,0,0,0,0,0,1,0,0,0,0,0,1
0.6,29.6,34.0,11.0,32.0,7.76,22.0,59.1,92.0,1008,1,0,0,0,0,0,0,1,0,0,0,0,1,0
0.0,29.6,34.4,7.4,34.2,7.64,15.0,59.2,100.0,1008,1,0,0,0,0,0,1,0,0,0,0,0,0,1
0.0,28.8,33.1,5.8,34.6,7.47,12.0,59.1,100.0,1003,0,0,1,0,0,0,0,0,0,0,0,0,0,1
3.2,27.9,33.7,6.2,35.3,7.14,38.0,58.8,100.0,1007,1,0,0,0,1,0,0,0,0,0,0,0,0,1
0.0,28.8,33.5,6.8,25.2,8.45,13.0,59.4,100.0,1005,2,0,0,0,0,0,1,0,0,0,0,0,0,1
1.6,28.7,34.1,7.2,28.4,8.03,24.0,58.7,100.0,1011,2,0,0,1,0,0,0,0,0,0,0,0,1,0
18.8,27.9,31.7,8.3,32.8,5.63,53.0,59.1,100.0,1012,0,0,0,0,0,1,0,0,0,0,0,0,0,1
0.0,28.7,32.6,6.5,25.2,8.36,15.0,59.7,100.0,1005,2,0,0,0,0,1,0,0,0,0,0,0,0,1
3.2,27.4,33.2,5.5,32.8,7.34,26.0,59.2,100.0,1008,1,0,0,0,0,0,1,0,0,0,0,0,0,1
0.0,27.7,32.6,4.5,22.3,8.65,17.0,58.8,96.4,1005,2,0,0,0,0,0,1,0,0,0,0,0,1,0
3.4,28.5,32.1,5.7,27.0,7.79,31.0,59.8,100.0,1012,1,0,0,0,0,0,1,0,0,0,0,0,0,1
0.0,29.6,32.3,13.0,35.3,7.32,10.0,60.0,100.0,1011,1,0,0,0,0,0,0,1,0,0,0,0,0,1
0.0,29.9,32.8,14.0,29.5,7.95,18.0,60.0,100.0,1005,1,0,1,0,0,0,0,0,0,0,0,0,0,1
0.0,29.2,32.9,8.8,37.1,7.2,13.0,60.0,100.0,1006,1,0,0,0,0,1,0,0,0,0,0,1,0,0
16.6,29.2,34.2,10.1,36.7,5.71,58.0,59.7,100.0,1008,0,0,0,0,0,0,0,1,0,1,0,0,0,0
9.8,27.2,30.3,4.9,28.4,6.83,42.0,-59.3,100.0,1007,0,0,0,0,1,0,0,0,0,0,0,0,1,0
0.0,29.0,32.4,6.3,28.1,8.05,16.0,59.6,100.0,1011,2,0,1,0,0,0,0,0,0,0,0,0,0,1
0.0,29.0,32.3,9.9,38.5,7.0,14.0,60.3,100.0,1008,1,0,0,0,0,0,0,0,1,0,0,0,0,1
0.0,29.0,31.5,10.0,35.3,7.24,19.0,59.9,95.1,1007,1,0,0,0,0,0,0,0,1,0,0,0,0,1
0.0,28.8,31.9,7.0,50.0,5.81,21.0,59.8,100.0,1016,1,0,0,0,1,0,0,0,0,0,0,0,0,1
0.0,29.0,31.8,9.6,31.3,7.67,19.0,59.7,100.0,1007,1,0,0,0,0,0,1,0,0,0,0,0,0,1
0.0,30.1,33.3,13.9,40.3,6.92,25.0,59.7,97.8,1006,1,0,0,0,1,0,0,0,0,0,0,0,0,1
0.0,30.0,34.2,15.4,47.9,6.25,25.0,59.4,94.5,1003,1,0,0,0,0,0,0,0,1,0,0,0,1,0
0.0,29.4,33.9,9.1,30.6,7.95,24.0,59.4,100.0,1010,1,0,0,0,0,0,0,1,0,1,0,0,0,0
0.0,28.4,30.7,5.4,29.2,7.77,26.0,59.5,100.0,1009,1,0,0,0,0,1,0,0,0,0,0,0,0,1
13.4,26.8,28.5,8.1,35.3,5.6,42.0,58.8,100.0,1013,0,1,0,0,0,0,0,0,0,0,0,0,0,1
3.8,27.7,30.6,6.3,36.7,6.63,24.0,59.1,100.0,1010,1,0,0,0,0,1,0,0,0,0,0,0,0,1
0.0,27.7,29.4,6.1,-25.6,8.0,27.0,59.1,100.0,1011,2,0,0,0,1,0,0,0,0,0,0,0,0,1
0.0,29.5,32.0,12.4,32.0,7.62,19.0,59.5,100.0,1014,1,0,0,0,1,0,0,0,0,0,0,0,0,1
0.0,30.0,32.5,12.0,34.2,7.45,19.0,60.0,93.8,1013,1,0,0,0,1,0,0,0,0,0,0,0,1,0
0.0,30.2,33.2,13.2,32.8,7.66,16.0,60.0,100.0,1012,1,0,0,0,0,1,0,0,0,0,0,0,0,1
0.0,30.0,33.2,14.8,34.6,7.48,16.0,59.6,99.6,1010,1,0,0,0,0,1,0,0,0,0,0,0,0,1
0.0,29.9,33.0,14.2,32.8,7.64,24.0,59.3,91.7,1011,1,0,0,0,0,0,0,0,1,0,0,0,1,0
0.0,29.7,32.8,9.7,31.0,7.8,20.0,59.6,93.4,1014,0,1,0,0,0,0,0,0,0,0,0,0,1,0
0.0,29.7,32.7,11.9,30.6,7.83,19.0,59.9,90.3,1010,0,0,0,0,0,0,0,0,1,0,1,0,0,0
