data_ref,date,Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Min Temperature (deg C),Maximum Temperature (deg C),Min Wind Speed (km/h),Max Wind Speed (km/h),Sunshine Duration (hrs),Cloud Cover (%),Wet Bulb Temperature (deg F),Relative Humidity (%),Air Pressure (hPa),Dew Point Category,Wind Direction,Daily Solar Panel Efficiency
c40be101-bb0e-4b07-aef3-1b9c438901b2,16/04/2014,0.2,0.2,0.2,0.2,28.7,33,6.1,23.4,8.56,18.0,59.099999999999994,100.0,1005,Very High,W.,High
3aa460ce-5a04-4216-b227-bebecf3a6b5f,17/04/2014,28.8,21.2,26.4,28.8,28.4,31.6,6.9,25.6,5.34,78.0,59.5,100.0,1006,Very High,SE,Low
7aa77391-40ac-49d3-b5dc-893a8c6c09dd,18/04/2014,0,0,0,0,28.2,30.9,6.4,29.2,7.79,11.0,59.3,96.1,1011,High,S,Medium
95c965ac-4374-4412-90d1-f50fe7485f10,19/04/2014,0,0,0,0,28.9,32.1,8.1,28.8,7.95,14.0,59.4,100.0,1009,Extreme,NE,Medium
3ad295da-165b-4090-8d28-1cafa7054e9e,20/04/2014,0.2,0.2,0.2,-,28.2,31.7,7.4,32,7.57,19.0,59.5,87.6,1006,High,southeast,Medium
8601c129-75ac-4d19-b8fb-e12443ed12a0,21/04/2014,-,2,3.2,-,26.6,29.6,5.3,39.6,6.1,32.0,59.2,100.0,1007,Very Low,SW,Low
1eb36b7a-cf6a-48fc-92b2-f01012225df6,22/04/2014,0,0,0,0,27.9,33.7,6.8,40.3,6.96,21.0,58.9,88.3,1005,Moderate,S,Medium
65a9c44c-2c9a-4fc3-8930-9a6e8a570eb4,23/04/2014,0,0,0,0,28.6,33,8.8,32.8,7.64,11.0,59.599999999999994,96.1,1009,Moderate,NW,Medium
2a4ac6ec-d43c-4d77-af8c-4a35290aee44,24/04/2014,2.2,1.6,2.2,2.2,28.7,33.7,8.2,-,8.03,21.0,59.599999999999994,100.0,1006,very low,NE,Medium
e0506d21-2d2a-4e7b-8db7-26649ef8973e,25/04/2014,0,0,0,0,28.8,34.4,-,33.8,7.68,15.0,-59.9,99.2,1011,Very High,SW,Medium
3785929d-65a4-4904-b8d9-d89b584b61f2,26/04/2014,0,--,0,0,29.1,33.6,6.6,28.4,8.14,12.0,59.9,100.0,1002,Very High,N,High
8c30f615-b490-44b7-825b-cd5b38990962,27/04/2014,0.2,0.2,0.2,--,28.7,31.7,6,30.2,7.75,21.0,59.7,94.4,1008,High,S,High
6e8f75ce-15b3-45bc-a000-21018c36297c,28/04/2014,0.2,0.2,0.2,0.2,28.6,32.8,5.9,--,8.36,19.0,59.5,100.0,1008,Very High,SE,High
74b1c2ff-2bba-4554-acbd-a0c366e99b7b,29/04/2014,4.8,3,-,3,28.3,31.6,5.1,35.3,6.77,40.0,59.8,100.0,1004,Very High,W,Medium
33289a79-6c8a-46bf-a47f-55af4619c299,30/04/2014,13.4,8.2,10.2,13.4,28.2,31.8,6.6,26.6,6.8,45.0,59.9,100.0,1008,Very High,NE,Low
c838de79-8e74-475c-add7-c36b90a8785a,01/05/2014,0.4,0.2,0.4,0.4,28.4,30.8,6.2,29.9,7.67,20.0,59.4,96.6,1012,High,SE,Medium
4ccf1f82-6c94-42ad-ad8b-a06af328f525,02/05/2014,0,0,0,0,29.4,32.7,8,27,8.19,13.0,60.0,100.0,1009,Very High,N,Low
29b0b0a3-bdba-49da-9714-193c5f063488,03/05/2014,0,0,0,0,29.6,33.7,10.3,29.2,8.07,22.0,60.2,94.6,1007,Very High,Northward,High
d8277269-dc14-499d-825c-2fd7e23c6593,04/05/2014,1.4,1.4,1.4,1.4,29.5,33.4,8,31.7,7.65,21.0,60.3,100.0,1006,Very High,SE,Low
584fd4fa-3768-4ab1-bdd0-9f2a9bc9ef99,05/05/2014,0,-,--,-,29.4,33.1,-,-,7.15,24.0,60.3,100.0,1006,Very High,NE,Low
c646c517-f3d2-4224-907b-673536716213,06/05/2014,0.2,0.2,0.2,0.2,29.8,33.3,9.7,35.3,7.4,8.0,60.4,100.0,1003,LOW,SE,Medium
84de4efc-017c-44bf-8657-65fbf2e160c9,07/05/2014,18.4,9.4,-,14.6,28,33.8,-,32,5.96,64.0,59.7,100.0,1008,Very High,NW,Low
dc614ced-be76-40d6-aad0-a8373ea32aac,08/05/2014,10.6,10,10.4,10.6,27.4,32.4,4.4,30.2,6.78,41.0,59.099999999999994,100.0,1004,Extreme,N,Low
3f7fce9a-4ced-4c76-a4f9-e95c36fd5c80,09/05/2014,1.4,1.4,1.4,1.4,29,32,7.2,22,8.48,21.0,59.9,100.0,1008,Very Low,E,Medium
b1c290b4-c703-4a70-829d-41c222e04478,10/05/2014,--,0,--,0,29.9,33.3,8.1,--,7.75,21.0,60.099999999999994,100.0,1003,Very High,E,Low
6da5d020-653a-4d02-8e0c-5309a4896a6d,11/05/2014,0,0,0,--,29,33.6,6.3,37.8,7.2,17.0,59.9,100.0,1009,Very High,NW,Medium
60dfdbc0-6c14-4a5d-9652-bd0e3ecb365b,12/05/2014,--,0.4,0.4,0.4,28.2,31.6,5.9,35.3,7.21,17.0,-59.4,100.0,1007,Very High,SW,Medium
06787140-2659-4f9d-a9c8-db4ac1e8209f,13/05/2014,0,0,0,0,29.2,32.6,5.9,27,8.18,23.0,59.5,100.0,1006,Very High,NORTHEAST,High
04e4aac1-83eb-46cd-9527-b70a05c19827,14/05/2014,1.6,1.6,1.6,1.6,28.4,31,6.8,31.3,7.43,21.0,59.8,100.0,1005,Very High,SE,Medium
734d0618-04e6-4729-8414-103cf35c2250,15/05/2014,12.2,11,12.2,12.2,-,33.1,6.6,25.2,7.19,41.0,59.5,100.0,1012,VERY HIGH,NE,Low
3ee97d1c-7600-493d-9f78-1d8c615ad444,16/05/2014,20.2,--,20.2,20.2,-,31.5,6.4,42.5,4.5,70.0,59.9,100.0,1006,VH,N,High
2169e1ac-6579-4187-9a71-0149368e15c2,17/05/2014,0,0,0,0,28.6,-,5.6,--,7.75,18.0,59.599999999999994,100.0,1009,Very High,SE,Medium
94700bf4-934c-4e6f-9910-224868a62f93,18/05/2014,22.2,9.4,13.4,16.4,26.7,29.2,4.5,-,5.48,70.0,59.0,100.0,1011,VH,SOUTHEAST,Low
73560220-fc2f-4139-933f-f2ea00e8e652,19/05/2014,--,3.8,5,5.2,27.2,30,6.9,--,6.84,35.0,59.5,100.0,1005,Very High,W,Low
0647ec7e-b4ab-4b2b-a372-30580c0ea3e5,20/05/2014,3.4,1.6,--,--,27.5,32.4,6.1,29.5,7.57,21.0,59.2,100.0,1008,Very High,NW,Medium
6033cb70-e9a0-4f67-96f1-d4915c76aaba,21/05/2014,0,0,--,0,27.7,32.4,5.4,26.6,8.2,26.0,59.3,100.0,1005,Very High,S,Medium
6574aee7-e081-42ec-afa3-3737738fa1dd,22/05/2014,2,0,0,0,28.7,32.1,8.2,30.6,7.57,21.0,59.8,100.0,1006,Very High,N,High
6ce95b80-8462-4423-9acb-1ae0184047d9,23/05/2014,3,1.8,2.8,-,27.1,30.7,5.3,27,7.69,29.0,59.099999999999994,92.7,1000,High Level,SE,Medium
d51745cf-799a-484b-b32f-a427b0652af9,24/05/2014,0,--,0,0,28.4,32.6,9.8,34.6,7.42,25.0,59.5,100.0,1010,High,S,Medium
5d541c06-361f-4797-9097-1c3dbdacb548,25/05/2014,0,0,0,0,29.3,32.6,--,30.6,7.82,13.0,60.0,96.1,1009,Very High,N,Medium
13096cbf-d55b-463d-981d-464d8e157864,26/05/2014,0,0,0,0,28.8,32.4,6.9,34.2,7.44,18.0,59.599999999999994,100.0,1009,VERY HIGH,W,Medium
d9d2190c-b704-4ad3-8fc7-38f48cc8b6ef,27/05/2014,0.8,0.8,0.8,0.8,28,30.7,6.5,29.9,7.62,7.0,59.5,98.5,1001,Very High,N,Medium
da3b79b3-849d-4ed2-bd2a-b76bc2f5e7fc,28/05/2014,2.6,1.6,1.8,2.2,28.8,32.6,--,27,7.92,25.0,59.7,99.9,1007,Very High,Northward,Medium
8f936f80-f395-49f6-bd18-8c4338865851,29/05/2014,17.8,7.8,10.4,13,28.5,32.7,5.4,31,6.01,58.0,59.8,100.0,1007,Very High,northwest,Low
aefe9e98-93cf-4a40-b0b8-ea80a3e14c02,30/05/2014,0,0,0,0,27.9,31.5,5.9,33.8,7.39,16.0,59.599999999999994,100.0,1008,Very High,N,Medium
904a3b4b-96c8-4a89-b535-f696de5a0a56,31/05/2014,0,0,0,0,--,-,7.4,-,6.85,30.0,59.599999999999994,96.3,1012,VH,S,Medium
dd25dda0-7d79-478f-8b66-7052c8cad3ec,01/06/2014,18,17.2,17.2,17.2,28.1,31.9,7.9,42.1,4.8,61.0,59.5,100.0,1008,Very High,N,Low
3a0d57f5-7274-4b1a-b413-adfa9b63f3c3,02/06/2014,--,0,0,-,28.7,31.2,6,24.5,8.29,15.0,59.7,99.5,1011,Very High,SW,High
4822661a-a399-4ae4-ab87-630bca033460,03/06/2014,0,0,0,0,29.4,32.2,10.5,27.7,8.07,6.0,59.599999999999994,97.4,1005,very high,NE,Medium
57a20f61-1583-4e5d-80cd-5600ccc90e3b,04/06/2014,6.6,2.8,3,3.2,27.7,-,6.6,30.2,6.81,35.0,59.7,100.0,1012,Very High,southeast,Low
d0af2af2-e1d3-4494-bec8-94d1cd48f540,05/06/2014,8.8,3.2,3.4,--,27,-,6.3,-32,6.59,38.0,59.4,100.0,1007,High,SW,Low
4819eb7d-31f6-4e9c-8d54-8b4d295f1d29,06/06/2014,4.2,1.6,2,3.6,27.4,31.2,6.9,39.6,6.36,27.0,59.599999999999994,100.0,1015,Very High,NORTHEAST,Medium
0c3400ef-9b21-4230-9208-f0b3f7c6fd25,07/06/2014,-,0,0,0,29,32.2,12.1,36.4,7.2,18.0,60.2,100.0,1010,Very High,S,Medium
b7f74a14-f500-4c14-99ea-68ded7b7b726,08/06/2014,0,0,0,0,29.7,32.6,9.7,32.4,7.64,29.0,60.099999999999994,81.2,1008,High,SE,Medium
2dfb691a-fd49-40ab-9650-e1ff741f8794,09/06/2014,0,0,0,0,29.4,32.7,7,36.4,7.25,19.0,60.3,95.3,1011,Very High,NORTHEAST,Medium
71eb9199-4535-4a6d-b93f-c20bc7ace649,10/06/2014,--,--,1.4,1.6,29.2,33,6.3,27.4,8.02,21.0,60.7,95.6,1013,Very High,NE,Medium
f33114fd-1f85-4031-811b-964f0e4dbb0e,11/06/2014,0,0,-,0,29.9,32.9,7.6,28.8,8.03,17.0,60.599999999999994,100.0,1009,Very High,SW,High
16de03a1-3fdd-4ebf-8ee9-e50029f9f5c7,12/06/2014,4.4,3.8,4,4.2,--,32.5,9.1,60.5,4.38,23.0,59.8,100.0,1009,Very High,N,Low
47119ec1-3049-44fa-b289-4e7bc837c8f3,13/06/2014,0,0,0,0,29.7,32.8,8.2,--,7.73,20.0,60.5,100.0,1009,VERY HIGH,SW,Medium
8ca865b9-134b-4fa9-8437-b9236ad48131,14/06/2014,18.8,16.4,-,-,27.6,--,5.8,46.4,4.13,66.0,58.7,100.0,1012,High,S,Low
0a8e5a8a-0f44-47b1-bbcb-816a107e712c,15/06/2014,0,0,0,0,29.4,32.3,6.8,24.1,8.44,17.0,60.099999999999994,100.0,1014,Moderate,NORTHEAST,High
5f08aa6b-5f7c-4f5a-b76d-41f8d3ace1a8,16/06/2014,0,0,0,--,30.1,32.8,8.7,30.2,7.88,17.0,60.099999999999994,97.6,1006,Very High,SW,High
b2587535-7e67-4d4a-87a2-eef4bbee0dc4,17/06/2014,0,0,0,0,-,33,11.8,28.8,8.04,13.0,60.3,100.0,1008,Very High,SE,Low
d295eb59-7ae4-43e6-b047-72e863c9e2ed,18/06/2014,2.4,1.6,1.6,2,28.9,32.3,8.1,43.9,6.22,23.0,59.4,100.0,1009,Very High,NW,Medium
2ad8fdcc-ce91-4ac0-940c-1586c3622abf,19/06/2014,3.2,2.4,3,3.2,--,32.9,8.1,38.5,6.74,20.0,59.0,98.5,1004,High,NW,Medium
892b168c-799c-4bce-9edd-470bc37f1b89,20/06/2014,0,0,0,0,30.4,33.3,10.6,27.7,8.18,18.0,60.4,100.0,1011,Very High,SW,High
2a7e79b7-3be3-4950-b127-d09bb0b226e8,21/06/2014,0,0,0,0,30.6,33.6,9,28.4,8.14,27.0,60.2,100.0,1010,High Level,E,High
37989164-92be-4c15-a078-bc46cd35e5b6,22/06/2014,-,0,0,0,29.8,33.4,6.6,25.2,8.44,23.0,59.7,100.0,1008,VERY HIGH,SE,High
b079497c-71d9-4bef-9f3f-d2a175c6980a,23/06/2014,0,0,0,0,29.7,33.2,6.1,28.1,8.13,8.0,59.5,100.0,1011,Very High,S,High
fd6ee6ec-9302-45d0-a84c-55af276b7582,24/06/2014,--,-,1,--,-,32.1,7.8,32.4,7.49,31.0,60.0,100.0,1010,Very High,N,Medium
b67ba553-e961-4639-b802-fd9cffbf3c1a,25/06/2014,0,0,0,0,28.6,30.7,8.2,32,7.49,18.0,59.099999999999994,100.0,1012,Very High,NE,Medium
e7bae943-90da-49b5-b8a3-f82da542db0d,26/06/2014,0,0,0,0,29.4,32,9.3,39.6,6.86,27.0,60.099999999999994,100.0,1009,Very High,SW,Medium
2272d06d-37b3-42c6-8721-511407f09387,27/06/2014,0,0,0,0,28,29.8,7.4,37.8,6.82,16.0,58.5,100.0,1013,High,Northward,Medium
8a976007-f458-4c00-ac2f-1f9f9c183672,28/06/2014,0,0,0,0,28.8,32.2,6.4,27,8.14,16.0,58.9,100.0,1011,VH,SW,High
55f35d87-6080-484c-aa1e-22743139426d,29/06/2014,0,0,0,0,29.2,32.4,5.7,31.7,7.69,24.0,59.5,100.0,1010,VH,SE,Medium
3eea2c43-6482-4efe-962d-745f21cf0118,30/06/2014,2.4,2,2.2,2.4,27.6,31,6.9,35.3,6.95,25.0,58.7,100.0,1011,Very Low,NW,Medium
bea91f30-de3b-4442-930e-6942ef157d23,01/07/2014,0,0,0,0,28.2,32.6,5.9,27.7,8.11,18.0,58.8,100.0,1009,very high,N,High
a0d9b4cf-0d4f-44de-822f-1b48a9fa3e40,02/07/2014,0,0,0,--,28.7,31.6,8,34.9,7.29,17.0,59.5,100.0,1009,Very High,S,Medium
d8c1d2e0-edf0-429b-8c6b-9ca6e5e07c6f,03/07/2014,0.2,0.2,0.2,0.2,28.6,31.2,6.6,29.5,7.77,21.0,59.5,84.4,1009,High,SE,Medium
ea8c784f-8098-46c4-aa1a-a0dd3d9ab264,04/07/2014,19.4,18,19,19,28.1,29.9,5.8,44.3,4.24,70.0,59.9,100.0,1012,Very High,W,Low
1678a3da-a52a-4db9-a724-db7ff8c1c8a0,05/07/2014,0.8,0.6,0.8,-,27.9,30.7,5.8,37.1,6.9,29.0,59.7,90.0,1003,Moderate,SE,Medium
e680e785-8ddd-4550-bbef-c6645a79d1c0,06/07/2014,2.2,1.8,2,-,28.7,31.5,5.7,37.8,6.77,35.0,59.9,100.0,1011,Very High,SW,Medium
21da5073-0162-449d-b766-9c77e0f89ab0,07/07/2014,3.6,3.4,3.4,3.6,28.5,31.5,6.6,38.2,6.59,27.0,59.099999999999994,94.7,1015,Very High,N,Medium
c0fceb25-7af1-4a5a-aed1-9c6c98c52ee4,08/07/2014,--,10.8,12.2,12.4,28,31.7,7,41.4,5.39,50.0,58.9,100.0,1005,Very High,west,Low
0e6ae22a-fd9d-4aa9-89a8-56f815c19536,09/07/2014,12.6,10.4,11.2,11.6,27.3,28.3,7.9,-59.8,3.21,60.0,59.4,100.0,1011,VH,N,Low
7bdc43a2-656c-474d-b0b7-5c0155331f9d,10/07/2014,0.2,0.2,0.2,0.2,28.7,--,-,34.9,7.32,21.0,-59.7,83.0,1011,High,NW,Medium
fff0de60-6dfe-4347-8bc7-6e2deb1be060,11/07/2014,26.8,24.6,25.6,26.4,28,32,6.6,27.4,5.4,72.0,59.8,100.0,1012,Very High,S,Low
509c8dbc-ed7e-4382-8ba0-418e3af7d757,12/07/2014,0,0,0,0,27.7,31.1,5.8,31.3,7.6,29.0,58.7,100.0,1008,High,SW,Medium
401d0293-f5c1-4594-b4f5-fb462cdffba1,13/07/2014,0,0,0,0,29,32.1,--,27.4,8.09,16.0,58.9,90.4,1010,HIGH,NW,High
869f236b-b241-484e-a0c2-981d26efa9ce,14/07/2014,0,0,0,0,29.8,32.5,9.2,28.1,8.06,17.0,59.2,94.8,1009,High,NW,High
776995f3-26e7-4f7a-8a76-4d262caeb4ea,15/07/2014,0,0,0,0,29.6,32.2,12.8,30.2,7.82,23.0,60.099999999999994,98.3,1013,Very High,N,Low
6ff9295a-6003-4424-907d-74eb9b0e060d,16/07/2014,0,0,0,0,29.4,32.4,10.8,30.6,7.8,18.0,60.0,90.5,1007,H,SE,Medium
af886e90-73e6-4373-8191-7bd0107b505c,17/07/2014,7.8,7.6,7.8,7.8,28.1,30.1,7.3,27,7.15,41.0,59.8,100.0,1006,Extreme,S,Low
05f8bc0b-e34c-447e-b34e-cf6f014ff9a3,18/07/2014,0,0,0,0,29.1,31.4,9.9,--,7.48,18.0,59.7,75.8,1011,High,SE,Medium
25ea4de8-9985-4065-b6e2-9352709a851c,19/07/2014,0.6,0.4,--,0.6,28.8,31.1,9.8,46.4,6.03,21.0,60.0,100.0,1012,Extreme,NW,Medium
9ad05432-96e8-4abc-9cb3-878438f0d0d0,20/07/2014,0,--,0,0,29.3,32.2,9.2,30.6,7.78,25.0,59.9,89.3,1009,H,SOUTHEAST,High
cd990e4d-e41d-4054-80d0-4b7f136a2cfe,21/07/2014,-,0,0,0,-,31.9,11.2,35.6,7.25,20.0,59.8,94.6,1014,High,S,Medium
e7f52dde-ce7e-4a2f-adf1-115b7d96d1c0,22/07/2014,0,0,0,0,29.6,--,12.6,35.3,7.33,19.0,59.8,89.7,1006,High,E,Medium
8e8ed8b6-5368-4098-b84f-026479914511,23/07/2014,-,0,0,0,29.8,32.3,11,33.1,7.54,17.0,60.0,96.5,1003,Very High,NW,Medium
1fb8b573-c1cb-4e8e-aac1-11b46d9323a0,24/07/2014,0,0,-,0,29.6,31.8,11.5,33.5,7.45,22.0,59.9,100.0,1009,Very High,SE,High
1fd94d7a-9a8c-4b2f-9ca4-028eeaf360e5,25/07/2014,--,0,0,-,29.7,-,11.4,33.5,7.59,17.0,59.7,81.4,1013,High,W,Medium
57b2c0a3-975b-42b9-9b9f-3eeeafd61000,26/07/2014,0,0,0,0,29.9,33.1,13.8,35.6,7.37,21.0,59.9,100.0,1014,Very High,NE,Medium
e8ccd011-1612-43a8-9ea5-80d883fb88a2,27/07/2014,27.8,15.4,27,27.6,28.2,31,8.6,-,4.81,71.0,59.7,100.0,1006,Extreme,E,Low
5f88eb92-265b-4456-ba97-327a50a9e1f1,28/07/2014,0,0,0,0,29,31.9,8.4,-,6.92,20.0,59.8,100.0,1015,Very High,NORTH,Medium
9231f993-4ca7-46d5-8e96-57cdc833bded,29/07/2014,29,18.4,18.8,19.4,27.6,32,9.7,70.6,0.86,90.0,59.4,100.0,1006,Very High,southeast,Low
6053b658-8d8b-4ee9-bd93-297f3c128cba,30/07/2014,4,2.8,3.4,3.6,27.8,31.4,8.7,37.1,6.65,23.0,59.5,98.9,1011,Extreme,NW,High
68cead0f-3e19-4410-80b9-5c8bfeea747e,31/07/2014,1,1,--,1,27.6,29.2,7,27.7,7.67,17.0,59.0,95.0,1015,High,SW,Medium
645687d9-a468-4e53-a1bb-b4368b5ccebf,01/08/2014,0,0,0,0,28.7,31.2,7.5,27.7,7.97,19.0,59.099999999999994,82.4,1007,H,S,Medium
fc37d7af-56b6-4bf8-91f1-d2b9122f75c6,02/08/2014,11.8,--,11.8,11.8,28.6,-,11.2,32,6.4,39.0,59.7,100.0,1009,M,N,Low
0a4405b4-3db3-4df1-ac64-66b3db398dca,03/08/2014,0,0,0,0,28.6,31.1,6.8,29.9,7.74,30.0,59.3,100.0,1005,Very High,SE,Medium
62c7a556-2836-40d0-87a6-9cd9c16c0fb5,04/08/2014,1.2,1.2,--,1.2,28.5,30.5,-,36,6.95,27.0,59.599999999999994,100.0,1010,very low,SE,Medium
10a6db57-cac7-4a7d-8462-4c57301a6f33,05/08/2014,7.4,2.6,3.8,-,26.5,28.5,6.7,38.9,5.84,53.0,58.2,100.0,1012,High,E,Low
828c55df-d24b-4888-9c6e-1751471bbbc9,06/08/2014,0.4,0.4,0.4,0.4,27.7,29.8,6.6,39.2,6.64,20.0,58.7,100.0,1010,High,NE,Medium
b038d4df-7ef9-4804-ae3c-68f439c54a8d,07/08/2014,9.2,9.2,9.2,9.2,27.5,30.8,7.1,52.9,4.49,46.0,58.8,100.0,1015,Very High,south,Low
a96cd183-d0bc-4380-93c0-2bdb56ce3fef,08/08/2014,2,2,2,2,27.6,29.7,8.1,41,6.29,29.0,58.5,100.0,1010,High,NE.,Medium
bbdebe76-36eb-43ae-9bae-8a790178a2b6,09/08/2014,0,--,0,0,28.6,31.7,14,42.1,6.58,23.0,59.099999999999994,100.0,1007,Very High,NW,Medium
f7fab603-812e-49ef-a6e0-cc12152b6bad,10/08/2014,0,0,0,0,28.2,31.6,9.8,32.4,7.54,11.0,58.9,100.0,1009,Very High,Southward,Medium
e8fba0b2-b47f-434b-ae61-acde5dccb589,11/08/2014,0,0,0,0,28.1,30.8,8.4,35.3,7.17,16.0,58.9,100.0,1011,Very High,SE,Medium
bd5c6aa3-b35b-4cb9-8ce6-02a660dc9627,12/08/2014,1.4,0.8,1.2,1.4,26.7,28.5,6.1,-,7.16,26.0,58.4,100.0,1014,H,N,Medium
dba8bdbf-533a-41d0-a748-e71151cba95f,13/08/2014,2.4,0.6,1,1.6,26.2,27.2,5.9,21.2,7.98,32.0,57.9,100.0,1009,High,S,Medium
263617b8-8ae0-4ec1-8356-f242506298c1,14/08/2014,41.2,33.6,37.8,-,26.8,29.4,7.1,23.8,4.06,100.0,58.3,100.0,1010,High,NW,Low
8a898bac-fa88-4d08-bd65-8fce433ef636,15/08/2014,0.6,0.6,0.6,0.6,26.6,29,5.4,40.3,6.43,26.0,58.4,87.5,1005,High,SW,Medium
e943652e-331b-4e4b-ad56-c80a814c1dc9,16/08/2014,0,0,0,0,28.1,30.7,8.6,30.2,7.67,18.0,58.4,92.0,1003,High,E,Medium
599e04d6-ea21-490f-b7d8-8d9bbbffab53,17/08/2014,0,0,0,0,--,30.6,-,29.9,7.69,16.0,58.9,100.0,1017,Very High,W,Medium
08f72fd0-3be2-49db-8f31-ad3b0b05480c,18/08/2014,10.4,9.8,9.8,9.8,28.4,31,11.9,46.8,5.0,38.0,59.099999999999994,100.0,1016,Very High,NE,Low
b8da2f11-0e24-4dd1-8cee-d4b4fb4a77dc,19/08/2014,0,0,--,0,28.2,31.1,8.6,36,7.13,16.0,58.9,90.9,1012,High,W,Low
b38dc127-8822-4a16-8252-a0fbb30e1263,20/08/2014,12,9.8,10.2,10.2,27.5,31.1,8.7,-,6.25,49.0,59.099999999999994,100.0,1013,Extreme,south,Low
9a11a8f8-ed54-4a46-b9ef-9f23980f920e,21/08/2014,-,1.6,-,1.6,28,--,8.5,29.5,7.62,25.0,59.0,86.3,1005,High,S,Medium
00e3115a-76e5-46de-bd13-5881cd0a0c55,22/08/2014,0,0,0,0,28.7,31.4,15.2,37.8,6.98,20.0,59.2,100.0,1010,High,N,Medium
1f91d2d6-37bf-4a4a-947c-4a5ee9ad5264,23/08/2014,0.8,0.4,--,0.4,28.7,31.9,11.7,31.3,7.6,19.0,59.3,100.0,1010,Very High,NW,Medium
afa23aac-1479-415c-9e17-98813ab459ca,24/08/2014,0,0,0,0,27.4,30.8,6.5,32.4,7.46,32.0,59.0,100.0,1014,Very High,W,Medium
f82b4c24-2ed7-4e30-aa0f-b33f78c72577,25/08/2014,-,4.4,--,-,26.6,30.4,6.3,44.6,5.48,29.0,58.7,100.0,1010,H,SE,Low
2902cf9d-d782-47d2-86e2-c693db40804b,26/08/2014,44.2,--,--,42.4,-,29.8,6.3,33.8,2.8,100.0,58.8,100.0,1009,VERY HIGH,N,Low
32d76cdb-5cde-4802-a6ea-7ef5c912ab77,27/08/2014,8.4,5,7.2,8.4,26.9,30.1,6.9,38.2,5.97,43.0,58.3,100.0,1011,High,SW,Low
c41f58dd-67f6-470c-96a8-a0d5db832e46,28/08/2014,38.8,33.4,38.2,-,26.6,29.8,5.8,32,3.52,100.0,57.599999999999994,100.0,1012,High,N,Low
75554036-7f8e-4c7f-9ac2-2a9ee5ad84e3,29/08/2014,-,--,39.2,39.4,26.8,30.3,6.6,34.6,3.25,100.0,58.0,100.0,1015,moderate,NE,Low
