data_ref,date,pm25_north,pm25_south,pm25_east,pm25_west,pm25_central,psi_north,psi_south,psi_east,psi_west,psi_central
d8277269-dc14-499d-825c-2fd7e23c6593,04/05/2014,15,--,14,17,16,59,41,52,58,55
584fd4fa-3768-4ab1-bdd0-9f2a9bc9ef99,05/05/2014,17,13,14,22,14,55,52,53,59,--
c646c517-f3d2-4224-907b-673536716213,06/05/2014,13,10,12,17,12,53,49,--,59,51
84de4efc-017c-44bf-8657-65fbf2e160c9,07/05/2014,17,12,--,14,13,54,53,52,55,52
dc614ced-be76-40d6-aad0-a8373ea32aac,08/05/2014,18,--,15,11,12,--,46,52,42,51
3f7fce9a-4ced-4c76-a4f9-e95c36fd5c80,09/05/2014,31,17,21,29,23,70,64,64,--,68
b1c290b4-c703-4a70-829d-41c222e04478,10/05/2014,12,9,7,15,8,-,46,42,60,41
6da5d020-653a-4d02-8e0c-5309a4896a6d,11/05/2014,18,14,19,20,18,57,53,55,58,55
60dfdbc0-6c14-4a5d-9652-bd0e3ecb365b,12/05/2014,18,15,15,20,16,62,55,59,61,59
06787140-2659-4f9d-a9c8-db4ac1e8209f,13/05/2014,28,25,21,18,23,61,59,57,59,58
04e4aac1-83eb-46cd-9527-b70a05c19827,14/05/2014,-,14,17,12,16,65,-,--,55,62
734d0618-04e6-4729-8414-103cf35c2250,15/05/2014,18,13,11,13,-,57,52,51,50,53
3ee97d1c-7600-493d-9f78-1d8c615ad444,16/05/2014,10,13,9,14,10,49,48,42,53,50
2169e1ac-6579-4187-9a71-0149368e15c2,17/05/2014,11,9,9,--,11,52,51,45,54,52
94700bf4-934c-4e6f-9910-224868a62f93,18/05/2014,10,9,8,-,9,52,41,37,-,44
73560220-fc2f-4139-933f-f2ea00e8e652,19/05/2014,11,10,10,13,12,53,43,47,42,49
6033cb70-e9a0-4f67-96f1-d4915c76aaba,21/05/2014,26,23,25,17,23,62,60,58,55,59
6574aee7-e081-42ec-afa3-3737738fa1dd,22/05/2014,24,13,15,24,20,68,60,63,66,65
6ce95b80-8462-4423-9acb-1ae0184047d9,23/05/2014,10,8,8,13,7,38,34,-,48,37
d51745cf-799a-484b-b32f-a427b0652af9,24/05/2014,18,17,11,17,13,59,56,54,57,56
5d541c06-361f-4797-9097-1c3dbdacb548,25/05/2014,11,6,8,14,9,51,36,--,52,39
13096cbf-d55b-463d-981d-464d8e157864,26/05/2014,16,10,7,14,9,44,29,30,53,-
d9d2190c-b704-4ad3-8fc7-38f48cc8b6ef,27/05/2014,25,--,19,12,20,66,60,62,54,57
da3b79b3-849d-4ed2-bd2a-b76bc2f5e7fc,28/05/2014,9,7,7,9,7,51,47,43,42,44
8f936f80-f395-49f6-bd18-8c4338865851,29/05/2014,--,18,17,21,18,58,-,56,57,54
aefe9e98-93cf-4a40-b0b8-ea80a3e14c02,30/05/2014,18,16,17,12,18,60,-,57,58,60
904a3b4b-96c8-4a89-b535-f696de5a0a56,31/05/2014,11,9,-,12,11,56,52,54,48,54
dd25dda0-7d79-478f-8b66-7052c8cad3ec,01/06/2014,8,7,--,10,-,31,-,29,38,34
3a0d57f5-7274-4b1a-b413-adfa9b63f3c3,02/06/2014,14,12,11,18,12,52,43,42,54,43
4822661a-a399-4ae4-ab87-630bca033460,03/06/2014,13,12,9,--,11,52,51,44,55,51
57a20f61-1583-4e5d-80cd-5600ccc90e3b,04/06/2014,11,10,10,12,9,53,51,43,54,50
d0af2af2-e1d3-4494-bec8-94d1cd48f540,05/06/2014,15,12,11,--,12,53,41,43,46,48
4819eb7d-31f6-4e9c-8d54-8b4d295f1d29,06/06/2014,10,11,8,--,8,51,44,41,40,43
0c3400ef-9b21-4230-9208-f0b3f7c6fd25,07/06/2014,14,--,9,13,9,61,55,56,56,--
b7f74a14-f500-4c14-99ea-68ded7b7b726,08/06/2014,9,10,8,12,7,40,--,34,48,32
2dfb691a-fd49-40ab-9650-e1ff741f8794,09/06/2014,13,12,10,15,10,45,--,41,51,35
71eb9199-4535-4a6d-b93f-c20bc7ace649,10/06/2014,22,11,12,19,--,60,52,53,62,54
f33114fd-1f85-4031-811b-964f0e4dbb0e,11/06/2014,13,9,11,12,12,54,47,-,--,52
16de03a1-3fdd-4ebf-8ee9-e50029f9f5c7,12/06/2014,14,11,13,14,12,48,41,--,52,48
47119ec1-3049-44fa-b289-4e7bc837c8f3,13/06/2014,13,14,14,16,14,53,52,53,55,53
8ca865b9-134b-4fa9-8437-b9236ad48131,14/06/2014,--,11,10,15,11,52,52,52,55,52
0a8e5a8a-0f44-47b1-bbcb-816a107e712c,15/06/2014,12,11,9,12,9,40,45,42,52,40
5f08aa6b-5f7c-4f5a-b76d-41f8d3ace1a8,16/06/2014,12,12,14,13,13,52,52,53,53,52
b2587535-7e67-4d4a-87a2-eef4bbee0dc4,17/06/2014,10,11,9,14,10,46,44,--,52,46
d295eb59-7ae4-43e6-b047-72e863c9e2ed,18/06/2014,11,9,8,12,11,45,47,43,52,47
2ad8fdcc-ce91-4ac0-940c-1586c3622abf,19/06/2014,12,10,10,12,11,-,49,47,52,48
892b168c-799c-4bce-9edd-470bc37f1b89,20/06/2014,11,12,10,14,12,-,49,47,52,51
2a7e79b7-3be3-4950-b127-d09bb0b226e8,21/06/2014,--,14,12,17,-,48,-,43,54,51
37989164-92be-4c15-a078-bc46cd35e5b6,22/06/2014,23,21,--,20,23,57,55,56,57,56
b079497c-71d9-4bef-9f3f-d2a175c6980a,23/06/2014,23,16,19,19,-,--,--,61,61,61
fd6ee6ec-9302-45d0-a84c-55af276b7582,24/06/2014,23,16,20,23,--,--,60,64,65,63
b67ba553-e961-4639-b802-fd9cffbf3c1a,25/06/2014,9,9,9,12,10,55,53,53,56,53
e7bae943-90da-49b5-b8a3-f82da542db0d,26/06/2014,12,12,11,15,11,45,47,39,53,44
2272d06d-37b3-42c6-8721-511407f09387,27/06/2014,15,13,13,13,-,54,52,52,52,49
8a976007-f458-4c00-ac2f-1f9f9c183672,28/06/2014,21,16,13,19,15,-,53,-,56,53
55f35d87-6080-484c-aa1e-22743139426d,29/06/2014,10,9,10,14,12,55,51,49,54,53
3eea2c43-6482-4efe-962d-745f21cf0118,30/06/2014,13,12,12,12,14,57,52,54,55,55
bea91f30-de3b-4442-930e-6942ef157d23,01/07/2014,13,10,9,16,10,51,49,40,--,46
a0d9b4cf-0d4f-44de-822f-1b48a9fa3e40,02/07/2014,15,15,14,19,15,58,52,53,60,55
d8c1d2e0-edf0-429b-8c6b-9ca6e5e07c6f,03/07/2014,23,19,17,21,20,62,58,58,60,58
ea8c784f-8098-46c4-aa1a-a0dd3d9ab264,04/07/2014,20,18,17,21,22,58,57,--,62,57
1678a3da-a52a-4db9-a724-db7ff8c1c8a0,05/07/2014,17,18,15,18,16,-,59,57,60,58
e680e785-8ddd-4550-bbef-c6645a79d1c0,06/07/2014,14,16,14,16,12,58,57,53,57,55
21da5073-0162-449d-b766-9c77e0f89ab0,07/07/2014,15,16,12,11,12,53,54,52,52,50
c0fceb25-7af1-4a5a-aed1-9c6c98c52ee4,08/07/2014,16,16,15,18,14,53,53,50,52,50
0e6ae22a-fd9d-4aa9-89a8-56f815c19536,09/07/2014,9,10,8,11,9,53,53,52,53,53
7bdc43a2-656c-474d-b0b7-5c0155331f9d,10/07/2014,13,9,12,16,-,48,42,44,54,42
fff0de60-6dfe-4347-8bc7-6e2deb1be060,11/07/2014,15,15,13,19,14,55,53,52,58,52
509c8dbc-ed7e-4382-8ba0-418e3af7d757,12/07/2014,17,13,18,11,15,56,--,--,54,53
401d0293-f5c1-4594-b4f5-fb462cdffba1,13/07/2014,--,13,10,13,10,55,52,53,37,-
869f236b-b241-484e-a0c2-981d26efa9ce,14/07/2014,-,11,12,14,11,52,51,44,53,41
776995f3-26e7-4f7a-8a76-4d262caeb4ea,15/07/2014,16,14,16,18,15,--,-,55,57,53
6ff9295a-6003-4424-907d-74eb9b0e060d,16/07/2014,17,15,15,19,13,56,53,54,56,52
af886e90-73e6-4373-8191-7bd0107b505c,17/07/2014,-,14,16,18,16,62,55,56,61,56
05f8bc0b-e34c-447e-b34e-cf6f014ff9a3,18/07/2014,17,15,--,17,14,58,54,-,58,56
25ea4de8-9985-4065-b6e2-9352709a851c,19/07/2014,16,--,13,15,12,56,54,--,56,53
9ad05432-96e8-4abc-9cb3-878438f0d0d0,20/07/2014,12,13,11,14,11,53,52,50,55,52
cd990e4d-e41d-4054-80d0-4b7f136a2cfe,21/07/2014,11,--,12,13,12,49,48,47,52,48
e7f52dde-ce7e-4a2f-adf1-115b7d96d1c0,22/07/2014,10,--,9,14,10,45,45,45,53,47
8e8ed8b6-5368-4098-b84f-026479914511,23/07/2014,13,14,14,--,15,52,51,50,55,52
1fb8b573-c1cb-4e8e-aac1-11b46d9323a0,24/07/2014,19,14,17,20,16,55,54,55,58,54
1fd94d7a-9a8c-4b2f-9ca4-028eeaf360e5,25/07/2014,20,17,18,20,-,59,57,59,61,57
57b2c0a3-975b-42b9-9b9f-3eeeafd61000,26/07/2014,19,13,14,18,16,60,57,56,59,55
5f88eb92-265b-4456-ba97-327a50a9e1f1,28/07/2014,13,13,12,16,16,54,51,53,--,54
9231f993-4ca7-46d5-8e96-57cdc833bded,29/07/2014,--,12,10,15,12,52,51,--,55,54
6053b658-8d8b-4ee9-bd93-297f3c128cba,30/07/2014,18,17,14,19,17,56,54,-,56,54
68cead0f-3e19-4410-80b9-5c8bfeea747e,31/07/2014,10,11,9,11,-,54,55,53,-,54
645687d9-a468-4e53-a1bb-b4368b5ccebf,01/08/2014,10,9,10,10,10,39,36,33,-,34
fc37d7af-56b6-4bf8-91f1-d2b9122f75c6,02/08/2014,16,14,--,18,14,54,52,51,54,52
0a4405b4-3db3-4df1-ac64-66b3db398dca,03/08/2014,19,16,--,17,-,57,56,57,58,56
62c7a556-2836-40d0-87a6-9cd9c16c0fb5,04/08/2014,--,16,16,20,16,57,55,56,57,-
10a6db57-cac7-4a7d-8462-4c57301a6f33,05/08/2014,10,10,8,12,10,51,53,52,55,53
828c55df-d24b-4888-9c6e-1751471bbbc9,06/08/2014,11,11,10,13,10,44,45,-,51,41
b038d4df-7ef9-4804-ae3c-68f439c54a8d,07/08/2014,8,7,8,11,8,39,41,37,44,37
a96cd183-d0bc-4380-93c0-2bdb56ce3fef,08/08/2014,9,9,9,10,12,37,36,40,47,40
bbdebe76-36eb-43ae-9bae-8a790178a2b6,09/08/2014,8,8,6,8,7,40,37,32,-,40
f7fab603-812e-49ef-a6e0-cc12152b6bad,10/08/2014,8,6,7,8,7,33,24,25,32,28
e8fba0b2-b47f-434b-ae61-acde5dccb589,11/08/2014,8,8,6,8,7,36,34,29,40,31
bd5c6aa3-b35b-4cb9-8ce6-02a660dc9627,12/08/2014,10,9,9,12,10,46,43,37,51,40
dba8bdbf-533a-41d0-a748-e71151cba95f,13/08/2014,--,12,-,13,12,54,51,47,52,51
263617b8-8ae0-4ec1-8356-f242506298c1,14/08/2014,14,12,9,14,12,52,51,41,--,51
8a898bac-fa88-4d08-bd65-8fce433ef636,15/08/2014,12,14,12,11,12,47,47,39,51,45
e943652e-331b-4e4b-ad56-c80a814c1dc9,16/08/2014,23,16,16,22,22,63,56,56,62,63
599e04d6-ea21-490f-b7d8-8d9bbbffab53,17/08/2014,17,15,13,18,15,59,55,55,61,56
08f72fd0-3be2-49db-8f31-ad3b0b05480c,18/08/2014,16,13,15,20,14,57,53,53,59,54
b8da2f11-0e24-4dd1-8cee-d4b4fb4a77dc,19/08/2014,19,13,15,18,15,--,56,56,60,56
b38dc127-8822-4a16-8252-a0fbb30e1263,20/08/2014,--,18,17,24,--,61,55,57,64,58
9a11a8f8-ed54-4a46-b9ef-9f23980f920e,21/08/2014,23,19,18,23,20,60,57,57,63,58
00e3115a-76e5-46de-bd13-5881cd0a0c55,22/08/2014,13,-,12,20,12,60,59,57,63,59
1f91d2d6-37bf-4a4a-947c-4a5ee9ad5264,23/08/2014,10,9,8,12,10,52,43,40,52,43
afa23aac-1479-415c-9e17-98813ab459ca,24/08/2014,19,15,13,18,15,--,55,53,--,-
f82b4c24-2ed7-4e30-aa0f-b33f78c72577,25/08/2014,22,20,20,21,20,57,58,56,59,56
2902cf9d-d782-47d2-86e2-c693db40804b,26/08/2014,23,21,18,22,21,62,60,59,61,62
32d76cdb-5cde-4802-a6ea-7ef5c912ab77,27/08/2014,17,13,14,13,15,57,55,-,57,56
c41f58dd-67f6-470c-96a8-a0d5db832e46,28/08/2014,14,13,12,13,13,55,52,52,52,53
75554036-7f8e-4c7f-9ac2-2a9ee5ad84e3,29/08/2014,13,15,13,18,14,53,--,51,51,51
8f2468cf-5a30-430c-8e33-adf0506d6b2b,30/08/2014,-,13,15,22,14,60,55,54,60,55
6a95f0d3-9b6f-480d-a752-3d27c8bb0300,31/08/2014,15,14,15,17,14,57,53,53,59,53
8032102c-5f47-44a5-aa52-382d4d38614a,01/09/2014,23,20,20,23,18,59,58,58,-,-
ea1217d4-3ec1-4b66-8c0a-ec191eb53459,02/09/2014,22,21,20,24,22,62,-,60,-,-
13c08e1a-6a67-4fcd-bb9d-f82d64434ca1,03/09/2014,27,23,22,22,25,65,64,62,66,65
50b09ca5-edbf-45f1-85b3-5c3a6d837f5e,04/09/2014,31,29,27,28,29,69,66,63,64,65
576976aa-3c50-4070-a643-d025c6051054,05/09/2014,24,23,22,18,24,65,66,65,--,65
d014a07f-9e64-4bb5-8c0b-600b9d8af79c,06/09/2014,11,-,8,9,8,56,55,56,50,--
48587cce-cb3f-4da8-bee7-dc5dd973083a,07/09/2014,19,12,13,17,15,55,44,41,54,-
41d03307-e134-43b2-bead-e0d0ac6979b5,08/09/2014,25,26,25,--,25,64,62,63,60,62
8616141e-4451-4d67-a996-ed830dd5b8c1,09/09/2014,25,23,19,21,24,61,63,61,62,63
2852e228-e8a7-4a55-bf29-7584ef2cc0dd,10/09/2014,20,--,23,23,22,64,63,63,62,62
19df525c-4ab8-4cf5-a7b0-9c4f7d3444ec,11/09/2014,20,19,-,23,19,62,62,59,62,61
16517889-1e2c-445b-bef3-e6804aa6a1c1,12/09/2014,26,19,20,30,26,67,-,62,68,67
a5f11eb5-41b1-4c1c-bae5-9d536ee2e58c,13/09/2014,24,26,27,30,24,64,64,-,67,65
5bd8dbe7-25ff-4764-b99e-84f2841c326b,14/09/2014,--,25,25,29,23,64,64,65,72,64
e0cb63f2-5b01-4667-94a3-1e80ccec9c42,15/09/2014,32,44,33,46,35,78,85,84,105,80
002fbd73-5c3c-46e3-a294-bf62b9933d1a,16/09/2014,22,--,20,25,21,66,66,66,72,--
39a38d9a-4b88-45a6-b3c9-ca297b683455,17/09/2014,21,23,18,21,18,60,59,59,63,58
f52540fd-08fc-45d5-8937-4a721d2529fd,18/09/2014,54,57,56,48,54,90,93,90,93,88
c1fa8b31-e787-48d8-8cdf-51491b3079d2,19/09/2014,45,49,43,46,47,99,103,98,93,--
56dcb496-921d-406b-b02d-e856d2a3455e,20/09/2014,16,15,16,22,16,65,-,64,67,65
23a9eb7f-aadd-401e-b6f7-0f26feb81e96,21/09/2014,16,--,18,14,18,56,53,54,53,53
1bb1ed0e-a18c-4954-9ca8-0d1ebfa195d1,22/09/2014,30,--,23,28,22,--,81,--,84,85
d6810f66-9dd7-49a5-91a8-9e8f75d55db9,23/09/2014,23,19,-,24,18,-,60,59,-,59
238c0353-c7a3-4885-a01f-4356201aff56,24/09/2014,28,29,27,30,27,68,67,66,--,65
b54c37f4-f865-473f-8370-26c85b9b5a05,25/09/2014,15,12,14,19,10,59,55,57,57,56
d7f89807-44b8-43b4-96f0-3c51cf04f57c,26/09/2014,27,23,22,30,24,65,59,62,66,60
bbf40977-dd37-424b-83c3-ba171f95935c,27/09/2014,24,23,23,34,22,66,65,63,76,66
f444ddde-3241-4326-b7b4-6ff689f751fa,28/09/2014,29,27,29,35,27,66,-,65,76,65
1500e3f3-980a-4d63-9531-a5050c8aa059,29/09/2014,22,21,24,29,24,72,69,70,78,70
40a460c3-ab09-4b7d-9e4b-edf6b6a4b3e5,30/09/2014,34,26,28,39,30,72,71,70,77,--
fecc5295-d130-4803-903f-dae2fde96989,01/10/2014,35,35,26,-,26,79,77,75,85,-
adfb1434-8ebf-4a1d-a959-e3e9d315ab47,02/10/2014,31,31,30,--,28,70,73,69,-,68
96681ba6-75bc-4a23-9f56-449af3efc18d,03/10/2014,30,27,27,32,25,72,75,72,78,70
4e367d09-b338-44f1-8b21-10be15e44ba4,04/10/2014,23,-,25,22,26,68,68,68,71,66
61c4a8b3-94c0-450b-be58-5c92d6e36729,05/10/2014,8,--,9,-,8,56,56,58,55,55
1b6622aa-ca9b-42df-9482-8f011e41560f,06/10/2014,38,73,53,-,62,55,--,60,--,57
94592ca8-e0d0-4340-8031-bcfcd80f3b24,07/10/2014,31,35,28,-,29,101,117,108,118,106
662a402d-2a0f-431c-aa6a-055909517dba,08/10/2014,37,43,37,39,32,74,75,73,77,-
7c1dea4c-4a41-4cd0-a6fa-93719451fe38,09/10/2014,20,21,22,29,16,-,76,73,85,72
5da1e9ec-16bb-41d6-857b-f8b63de55830,10/10/2014,20,17,18,24,17,61,60,61,-,58
2e953d57-5613-46b2-9290-fdd5f845b72e,11/10/2014,38,49,47,53,45,72,76,74,77,72
63ca4c4f-4edb-438a-9dad-9cb1d31f247f,12/10/2014,36,50,37,49,39,87,101,95,97,91
0ad4e9c0-d4ef-43d4-a5e6-32e416b53e01,13/10/2014,21,24,-,36,24,-,75,70,80,--
6f39dfab-dee9-4db4-b090-7ab38c4de4c5,14/10/2014,25,27,23,28,24,68,68,66,78,66
5c6716a4-5a09-47b4-97e6-e0189d5cedf4,15/10/2014,24,35,29,37,32,70,74,--,73,71
7b300140-9f6a-4d00-ac1f-05388d16c0a3,16/10/2014,22,19,19,31,21,65,68,--,82,66
9081bd5a-e358-4d74-b7c8-fcb9bec25408,17/10/2014,-,21,21,30,21,59,61,60,66,58
da90cf21-4e29-4ac3-8e8c-165f559d9353,18/10/2014,--,32,33,26,31,66,67,66,66,65
0e4f92fc-5044-45c8-a177-84b2864d87b7,19/10/2014,47,52,50,48,42,81,92,93,85,83
fe256a8e-67c7-49b8-ad50-a90b8e13496c,20/10/2014,40,-,29,50,29,86,89,86,99,82
703dcbfa-8751-4b03-bc39-a5e3e0d42d64,21/10/2014,28,-,28,38,26,74,72,70,84,69
c22487c5-d4f8-4ed9-9cfd-83f4d93af35a,22/10/2014,22,24,21,26,21,62,64,65,68,62
ca7c26e6-77b3-42b3-a2f0-9b58c35367fe,23/10/2014,--,30,34,33,34,73,74,73,76,74
e0e97756-35b8-4ad5-ad81-1bcebe852dec,24/10/2014,34,34,30,37,29,74,75,73,75,72
ecbcb336-8abc-440c-909a-0b23cc7bc195,25/10/2014,-,24,25,38,24,73,71,-,78,67
65432453-9659-4bec-98d4-5af6048ccae8,26/10/2014,--,15,21,23,16,64,62,63,67,60
e7b18718-a09b-42e1-bbf5-cc5509b85225,27/10/2014,-,16,17,18,15,62,56,-,63,55
b590bc2f-0447-47e1-bd76-80b0fb0fa572,28/10/2014,23,29,30,26,23,57,60,62,58,57
947113ca-c5cf-4587-89ea-4e9b7338bb84,29/10/2014,25,27,23,38,27,-,74,71,80,73
838d6c8c-7f67-4468-9eb9-ac5445e4e74a,30/10/2014,26,26,30,33,25,70,65,66,-,64
af345225-8b1f-471a-bb99-2a966baaaa4b,31/10/2014,27,30,26,27,26,66,72,71,73,67
9546fb82-b155-4d89-991e-1627bb3c035c,01/11/2014,27,28,-,25,29,69,69,66,64,65
d5d3fa3b-b04c-4bf1-88e8-62a8b40410b8,02/11/2014,33,59,52,-,43,68,69,67,65,68
dfd2d932-462b-4288-8ddd-906d946e732e,03/11/2014,48,-,--,52,37,99,105,97,110,--
c5219e70-bd25-45a5-8bfe-94d7379acdaa,04/11/2014,30,33,30,31,29,77,80,75,82,75
7c89b943-14ab-4a2c-9aca-8ed3311264e4,05/11/2014,27,25,31,32,27,68,69,72,72,68
b2b40d35-867f-416e-880e-452033f0f27b,06/11/2014,26,25,27,29,26,66,68,69,72,--
cdf1dff2-fc44-4f1c-8fae-9504be432a9b,07/11/2014,14,14,16,14,12,60,58,57,56,54
19024732-6d81-49ed-a860-1479c512bc1d,08/11/2014,15,18,16,-,15,54,60,58,56,55
b05d20d3-b394-4796-a28f-a0a7ec0fb4ea,09/11/2014,9,10,8,9,10,42,51,-,41,-
11617683-c013-46a9-b820-5b2a9c3b2f6d,10/11/2014,--,25,26,26,22,59,61,63,65,60
a6c41815-e653-4fa8-9d44-9ea00a9a1c1b,11/11/2014,23,22,18,26,18,64,60,57,68,57
326dd3c1-be0f-4bc3-86c4-652d9ddd2dc9,12/11/2014,23,31,27,--,27,60,72,64,68,65
abb91835-819b-466c-9a86-ae6d0b93311d,13/11/2014,12,14,16,12,12,60,63,59,-,60
a76a336c-4a2f-402a-acca-1763a6bef1a3,14/11/2014,10,--,10,7,8,41,39,45,30,39
084546af-b53a-4b50-bcfb-85dc9d357279,15/11/2014,10,6,9,5,-,45,-,37,26,--
e32bd057-7460-46e5-ae1a-8b26c7f459cc,16/11/2014,8,6,10,8,--,37,32,52,37,37
e7c06047-24b4-4840-a736-3c14931cf9e4,17/11/2014,9,10,11,9,--,44,49,51,39,48
0e2630d7-00e8-4cd2-bfa2-dae578db9155,18/11/2014,--,10,11,12,10,39,--,46,40,43
70d39b60-8025-4d9e-9b7b-9dd73590b79c,19/11/2014,9,10,12,8,9,51,46,51,--,43
69523dfa-f4fb-4b87-bae1-09762d44b500,20/11/2014,8,9,9,8,8,33,39,42,38,32
1e4022ed-a92a-4aec-b8ff-285e826fa699,21/11/2014,11,9,10,13,9,45,45,46,44,44
33641125-cef9-4322-9505-2b0fa0de46ba,22/11/2014,16,9,10,18,10,57,47,44,56,44
7cbc2044-5ff5-40d6-8950-2ed5f7f031a4,23/11/2014,--,8,12,9,10,52,41,45,53,45
33957d0e-f65c-4400-b5ed-3a9c4d36836f,24/11/2014,11,13,14,11,12,47,-,52,45,44
24c713fc-03a1-4a8b-9de0-814c80a65771,25/11/2014,10,11,-,8,9,41,53,53,44,44
10e75757-511e-45f0-82ff-66d8d462ae10,26/11/2014,12,11,17,9,9,47,50,56,42,49
9c391385-2efd-4105-a6b7-0ea64b72b289,27/11/2014,11,13,15,12,10,50,52,56,43,46
6fd800dd-6e75-4a1e-a26f-40f8f6caf96f,28/11/2014,10,11,9,11,-,52,51,42,52,49
4ccea88a-2036-4408-9d87-bd556f638be7,29/11/2014,8,5,10,5,5,--,33,-,35,30
873f6200-39ab-4b50-8758-dd77c7513f25,30/11/2014,13,11,14,--,11,46,38,52,34,38
db056553-21c6-4484-a1e3-9b865876231f,01/12/2014,9,8,10,--,9,44,51,--,42,54
93a830b2-9181-4f70-8bf8-1a7823c47902,02/12/2014,15,10,15,12,15,55,48,54,48,52
b332a7c9-83ae-47a2-b4e3-c7431c5f3842,03/12/2014,18,20,22,14,--,--,56,57,52,55
aefd8b4e-079d-445c-93ec-75769ab7f040,04/12/2014,16,13,11,12,14,57,56,55,56,55
41774376-da56-4a87-bedb-4b6f184c1ac5,05/12/2014,--,22,25,--,21,57,--,--,54,55
70672c9e-f888-4426-b8d3-09b3d2195dc1,07/12/2014,--,7,10,-,6,43,39,-,48,--
ee784abc-190f-45ad-91ee-d6f90eacd93e,08/12/2014,10,12,12,-,9,39,47,48,34,--
687a2943-bd83-4eb1-8857-db67019509b6,09/12/2014,11,12,13,11,9,46,51,50,49,40
6356467c-c909-4b03-8389-90e056cabbc4,10/12/2014,14,15,14,11,12,47,51,54,48,46
940a285d-02dc-4881-909b-f245eec746df,11/12/2014,--,12,15,-,11,54,54,55,54,47
c7416392-6d0b-45f4-83c4-e4e9bb3b583b,12/12/2014,12,9,12,--,11,51,52,52,55,46
c3bc86e1-e86d-45ce-812f-94313af88b13,13/12/2014,8,10,9,9,9,43,42,-,52,40
8914cba3-0973-44bf-bcf1-0a7f660840bd,14/12/2014,9,13,10,-,10,51,52,51,52,48
26c5d07e-7d45-464f-a144-48fc09220f4a,15/12/2014,9,7,11,8,7,39,40,47,40,33
